#plate,mjd,fiberid,run2d,specobj_id,ra,dec,z,zerr,zwarning,class,subclass
1257,52944,244,'26',Decimal('1415323302502623232'),70.488459,25.089822,0.00014,1.6e-05,0,'GALAXY',''
1257,52944,253,'26',Decimal('1415325776403785728'),70.108346,25.854254,6.8e-05,1.9e-05,0,'GALAXY',''
1257,52944,300,'26',Decimal('1415338695665412096'),70.084091,25.968274,0.760695,3.1e-05,0,'GALAXY',''
1257,52944,314,'26',Decimal('1415342543956109312'),70.096938,24.900584,0.012341,2.6e-05,0,'GALAXY',''
1291,52738,523,'26',Decimal('1453680586815203328'),226.64007,42.640362,0.018282,7e-06,0,'GALAXY','STARBURST'
1303,53050,443,'26',Decimal('1467169400699250688'),143.44205,10.152503,0.010779,8e-06,0,'GALAXY','AGN BROADLINE'
1304,52993,552,'26',Decimal('1468325261341648896'),144.45804,10.193909,0.093555,6e-06,0,'GALAXY','STARFORMING'
1311,52765,262,'26',Decimal('1476126842271328256'),173.95449,56.952287,0.051407,1.6e-05,0,'GALAXY','AGN BROADLINE'
1311,52765,359,'26',Decimal('1476153505428301824'),173.46639,57.454375,0.162523,2.4e-05,0,'GALAXY',''
1311,52765,519,'26',Decimal('1476197485893412864'),175.95339,57.312621,0.17376,7e-06,0,'GALAXY','AGN'
1323,52797,335,'26',Decimal('1489657707777517568'),206.67879,55.844025,0.116411,1.2e-05,0,'GALAXY','AGN'
1324,53088,183,'26',Decimal('1490741831124674560'),211.38883,54.461164,0.00105,4e-06,0,'GALAXY','STARBURST'
1324,53088,456,'26',Decimal('1490816872793270272'),211.30173,55.741853,0.005495,5e-06,0,'GALAXY','AGN BROADLINE'
1325,52762,634,'26',Decimal('1491991695498176512'),214.94416,54.387439,0.152479,6.8e-05,0,'GALAXY',''
1327,52781,18,'26',Decimal('1494074170839951360'),221.43798,51.580815,0.029627,1e-05,0,'GALAXY','STARFORMING'
1327,52781,215,'26',Decimal('1494128321787619328'),219.37821,51.56186,0.007286,7e-06,0,'GALAXY','BROADLINE'
1330,52822,391,'26',Decimal('1497554400707635200'),227.01322,48.957818,0.110975,8e-06,0,'GALAXY','STARFORMING'
1333,52782,585,'26',Decimal('1500985426071021568'),237.4924,45.111572,0.119269,1.5e-05,0,'GALAXY','STARFORMING'
1360,53003,633,'26',Decimal('1531397921403070464'),159.85717,41.824292,0.12385,1.2e-05,0,'GALAXY','STARBURST'
1360,53033,186,'26',Decimal('1531275051481982976'),157.52948,41.398204,0.189743,0.000127,0,'GALAXY','STARBURST BROADLINE'
1366,53063,83,'26',Decimal('1538002139001939968'),173.72063,44.004853,0.018507,5e-06,0,'GALAXY','STARBURST'
1366,53063,430,'26',Decimal('1538097521635649536'),172.68279,45.494223,0.181529,2.8e-05,0,'GALAXY',''
1377,53050,441,'26',Decimal('1550485444049790976'),206.32977,41.71244,0.008503,1.2e-05,0,'GALAXY','AGN'
1382,53115,193,'26',Decimal('1556046774953601024'),219.34226,36.567855,0.014152,7e-06,0,'GALAXY','AGN'
1388,53119,128,'26',Decimal('1562784307397814272'),233.22409,30.349833,0.362049,1.5e-05,0,'GALAXY','STARBURST'
1404,52825,251,'26',Decimal('1580832510957348864'),239.2444,31.909685,0.04782,1.4e-05,0,'GALAXY','BROADLINE'
1420,53146,528,'26',Decimal('1598923056032540672'),244.47515,32.107626,0.116885,1.5e-05,0,'GALAXY','STARFORMING'
1421,53149,253,'26',Decimal('1599973364565305344'),246.87674,27.916451,0.132978,8e-06,0,'GALAXY',''
1427,52996,221,'26',Decimal('1606719965346424832'),154.10215,37.912768,0.003879,6e-06,0,'GALAXY','STARBURST'
1429,52990,416,'26',Decimal('1609025366251300864'),157.23741,45.15304,0.169991,2.1e-05,0,'GALAXY','AGN BROADLINE'
1430,53002,356,'26',Decimal('1610134773685053440'),156.43039,39.64638,0.023427,7e-06,0,'GALAXY','BROADLINE'
1451,53117,116,'26',Decimal('1633712702960461824'),185.61073,47.066746,0.186958,9e-06,0,'GALAXY','STARBURST'
1453,53084,289,'26',Decimal('1636012056098400256'),186.86958,46.307182,4.58547,0.000398,0,'QSO','BROADLINE'
1460,53138,244,'26',Decimal('1643880986846455808'),197.05039,41.676341,0.02777,1e-05,0,'GALAXY','AGN BROADLINE'
1462,53112,638,'26',Decimal('1646241088119269376'),202.14171,41.852281,1.35975,0.000155,16,'QSO',''
1463,53063,262,'26',Decimal('1647263633111017472'),201.00681,45.772423,0.125265,1.1e-05,0,'GALAXY','BROADLINE'
1467,53115,579,'26',Decimal('1651854369907304448'),212.52964,45.138207,0.066767,7e-06,0,'GALAXY','STARBURST'
1513,53741,637,'26',Decimal('1703661719043205120'),47.116735,0.381189,0.042372,6e-06,0,'GALAXY','STARBURST'
1543,53738,574,'26',Decimal('1737421398890014720'),7.950553,0.192327,0.125358,6e-06,0,'GALAXY','STARFORMING'
1566,53003,429,'26',Decimal('1763277227119634432'),51.167191,0.381181,0.245902,5.6e-05,0,'GALAXY','STARBURST BROADLINE'
1574,53476,577,'26',Decimal('1772325116240226304'),246.82833,25.874897,0.192309,3.1e-05,0,'GALAXY',''
1578,53496,1,'26',Decimal('1776670386528741376'),242.22589,28.310471,0.172819,2e-05,0,'GALAXY',''
